ID_SALES,text
HD3351A, @karajusto SWA is willing to follow up. FINALLY.
HD884A," 100% I will put together a very serious email, with all the issues that arose on our vacation due to your staff I will post it here"
HD232A, marks 15th birthday with @Airbus #A320 painted in 'Blumanity' paint job http://t.co/9vTFM7kNad
HC2022A, Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
HG4803T, you are beyond redemption. Jfk. Baggage claim looks like a luggage warehouse
HD2581A," used to exclusively fly SW, but Late Flightly, direct flights &amp; cheaper costs have me switched. Å”ĀĀĀ why...so... few...direct...flights?"
HD2356A," I know there's no actual 'mile high' club, but surely there's something I can join ;-)"
HD1841A," to top it all off, your flight attendants talked loudly throug the flight, even when the lights were dimmed. Resulting in no sleep"
HC2471A,Why we can't have nice things. RT : Our fleet's on fleek. http://t.co/HP9RPPCvHx
ST3405A, I'm sick of living in an airport!! #getittogether
HS3038A, serious attitude. I was in the fault for running a tad behind but before she even knew my name or my flight info she ASSURED Me
HD729T, @dfwairport got rebooked through the AA online app.
HW1725A, told to work it out ourselves #joke #fail
HVP4554T, so is the ^JJ standing for Just Joking?  I am not finding the humor.
HD4516A," from San Diego with a 4 hour delay to JFK!Even you have a Amex  JetBlue, even having over 50.000 travel miles, you're still nothing"
HD963T, flight Cancelled Flighted! I'm trying to get to #chicago. What are me and @justynmoro gonna do. #flying#flight#travel
HD2454A, THANK YOU! I am your new big fan :)
HD1392A, Why announce it is for rollers at all? If I want to put a coat in there isn't that my choice?  How about all gate checked? Thx
HN4497A, can you please make sense of the companion promo? How to we set it up?
HF1271A, Are you expecting any delays out of #DFW tomorrow morning?
HC464A, always makes our cross country flights rad. @hemispheresmag here's baby flier Charlotte! #8thtime5MonthsOld http://t.co/kCqnwIXUCm
HC1363A, Awesome. Thanks! You guys rock!
SC3409A, congrats on treating your customers the worst way possible. I know plenty of other ppl who have had horrible experience w you too
HS2355A, unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight
HVP3396T, delayed agAin by United. Gate agent was borderline rude when I asked her a flight status question. What is happening to United?
HD4395T," got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
HVP500T," I think that flight was supposed to go to Houston as well, in case someone could check that?"
HD2261A," no, I have a pricey Chase Mileage Plus CC."
HD2232T," Yes, filled out the form last year. Don't have case number handy. Guess I'm not cut out for the historical society afterall"
HS2675A, Stuck in this airport 12 hours in standbys cuz the pilot showed up Late Flight in PJs &amp; i missed my connectin flight. PJ's I TELL U! #NYFW
HD3824A," truly the best in #customerservice.  If something goes wrong, no matter how big or small the issue was, they fix it. Thank you"
HD4675A, Thank you for your time!
HC190A," awesome, thanks!"
SC1493A, Suggestions: tell customers approximate wait times when they are on hold (50 min now...) and allow them to Cancelled Flight online!
HD2181A, you Cancelled Flightled my flight to EWR. Flt 3076. U also Cancelled Flightled flights to LGA. Yet  is flying on time to both. WTH??
HD1447T,ÄĀĀ: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckcÄĀĀ @JenniferDawnPro
HD4499A, How do I formally complain about your customer service handler who misconnected me. I was denied boarding &amp; I now lost my bag. Help!
HD26T," 4 segments, 4/4 delayed. Gnv &gt; CTL . CTL &gt; JAN . JAN &gt; CTL . CTL &gt; GNV. My year off from flying with you guys was the way to go."
HVP3094T, no date on when revieving our money sent a letter in post and several emails no reply?? very frustrated
HD3931A," you have my money, you change my flight, and don't answer your phones! Any other suggestions so I can make my commitment??"
HD2963A," , am I dreaming? Did you really just open up a route between Dallas and Austin?! And does this mean Houston might be next?"
HS3111A, so much for being here to help. Very disappointed in your customer service.
HD3912A, 3 hours to rebook but 8 hours l8r the same problem again. Arrive at gate stopped cause now infant is sitting in 4 yr old lap
HC3881A, okay. I just sent it.
HD2806A," I hope so, too. Thank you for your help. She traveled halfway across the globe and just wants her suitcase."
HD3568A, @Jack_Kairys your site clearly explains we are allowed a carry on. This was allowed at PIT but not BOS. How does that make sense?
HD136A, to start daily #B737-700 flights from #Washington Reagan to #FtLauderdale on 8AUG #avgeek
HD3559A,", I've tried no less than 8 times today to get in touch with your service desk beginning at 8:30 EST.  I'm having no luck -help!"
HD1972T, that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs
SG186A, Horrible service @loganairports. Luggage got destroyed on flight and woman at baggage service was so rude. Didn't help at all.
ST1934A, 25 min hold has now progressed to over an hour...919-675-0985
HD1410A, I'm glad @Beamske retweeted otherwise you would have to ignore the numerous tweets I sent. You all are fucking amazing
HC205A, @flightspots about time! #mobileboarding is a must!
SG352A, @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair
CD2990A, 1) I was on 1610 today to YYZ. I had a bit of a bag issue that was cleared up beautifully. Thank you to all of the check in
SC3739A, I hope not to see the same issue on my return flight tomorrow
CD2039A, that's great! pls let me know when u start!
HN818A," Wonder why people hate dealing with airlines?  Ridiculous and inflexible ""policies"".  I need a phone number and a resolution.  Now."
HD4037A, can I bring a copy or photo of my baby's birth certificate for the flight? I feel uncomfortable traveling with the real thing.
HD1926A," I'm not sure if you can do anything to help me with that, but if you can that'd be great."
HD1302A, how comes no one has answered my calls or emails?
HD1811A, sent
HG3459T, will there a non-stop flight from Midway to Boise for this summer season? Looking to book at labor day trip.  Ty
HD1133T, booked our flights this morning. Can't wait to move about the country.
HD4388A, car accident on my way to the airport. Missed flight from rno to dca. Trying to resched but your line has 2 hr wait
CD1181A, the best airline in the world
HZ1217T," flight was scheduled for 11:56, it's 1:05 and we haven't moved. I have never been on a flight where everyone moved without a sense"
ST4891A, my sister and her family had to drive 1200 miles because you did not accommodate a rebook in a timely manner! HORRIBLE
HD4294T," 24 hrs Late Flightr still not home. Hotel, rental car etc with a 5 yr old, what happened to ""customer service is our first priority"""
HD610A, YES please....How do we get that companion pass?
HN1197A," As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers."
HD406A," $192 rndtrp 4/30-5/5 ""@DJQ_KC: RT @djimpact: If you're trying to make travel reservations for Vegas on May 2nd it's too Late Flight"""
HD1097A, can't update my flight online bc it's been Cancelled Flighted twice already. Going on hour 2 on hold.
HD1818A, that's right- with an overnight Miami.
HD1153T, Just looking to arrange for a nice flight from SEA to LA-ish and comparing the cost to something more direct from YVR.
HN3249A, Customer Centricity is knowing people #ANAMarketers
HD1474T, my flight 1106 was Cancelled Flightled and I need to get back to Cleveland. What are my options?
HVP2070T, the fact that that rule makes it poor customer service. I can Cancelled Flight/change on  with no penalty or hoops.
HS3432A, and waiting
HD3130T, thanks for having ground crews that are surprised when flights arrive. #beingsuckontarmacsucks!
HD3741A, was forced  to book a flight on a different date than originally planned for a higher price $1130 felt like a bait and switch tactic
HD597A, overall lack of attention or foresight when managing flights.
HD1081A, don't I always?
CD4262A,ÄĀĀ: Our fleet's on fleek. http://t.co/pr3OeBC2N2ÄĀĀ lol wut?
HD732A, so glad I've been waiting for 1 hour and 15 minutes and Ive been transferred 3 times without resolving anything. Worst service ever.
HC3759A, yikes.
HD41A, What's the seat assignment policy? Why let us choose a seat only to change it on us two weeks Late Flightr?
SK2099A," Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
HD2523A, no I will be calling corporate!
HD1448T, will do. Thx. Been sitting on plane now for 2.5 hrs and now we have to refuel!  I can't even make this stuff up.
HD763A, US 728/Feb 21. Ground power shorts again for the third time. Weary German passenger deplanes. Makes me jealous. Auf wiedersehen!
HD688A, not sure why u call it customer care.  Should be customer we don't care
HD1044A," Umm, can you define 'extra time'?"
HD1170A, we appreciate auto rescheduling our Cancelled Flightled flight-- but you have nothing sooner than Tuesday? can fly into alternate loc?
HC1394A, Please try it yourself - call 1-800-433-7300 and see what happens... then you'll understand.  #allrepresentativesbusy #nooption
SD291A, the reservation system won't even let us leave our phone #. I have no way to fix that you rebooked me on wrong day!
HC1273A, 2 bags fly free!  So what's with all the carry-on's? #packingayak @BrianReganComic
HW1427T, I'm trying to choose my seats but every time I go to the next flight I get system error
HD1411A, my son is a passenger on flight 3710 from Chicago to Toronto. The plane came within feet of colliding  another plane and is stopped.
HD3677A, I would like a supervisor to talk to. Now we are waiting for a flight attendant as one just walked off &amp; left http://t.co/IpaamZT7Z2
HC620A, Hi AA ! I placed an itin on hold to expire on 2/27.Just logged into my acct..its gone! Seat hasn't been released to inv. Help?
HD757A, - First impressions are hard to reverse.  A horrible first experience with you.  Will never fly with you again!!!
HD2442A," got it right with the safety demonstration! Corporate but funny, reserved but NOT CORNY  as aÄĀĀ¦ http://t.co/lwOtKIEKGU"
HD4302A, Your CLT baggage crew deserves a #kudos. I had to run to make my connection. And my bags still made it! #CustomerService
HC3230A," Hey! I booked a flight (Isabelle Gramp, Boston to LAX), and it said that it charged my credit card but the transaction didn't go"
HC280A, great example of customer service this morning at MSY headed to ATL. Alison and Bobbi were fantastic! Gate B8. Thank you.
CD2708A, amazing service by your SW stewardesses! From den to Cun and from CUN to Atl and atl to lax. Thank u!
HD49A, 40+ minutes waiting at the gate for the broken jetway. Different gate maybe?
HD1112T," Thanks Yup I'm all set.  It happens.   SLC ground staff were prompt,  helpful and courteous."
SG186A, any delays today @CAKairport to Orlando?
HN4696A, SHUT THE DOOR ON YOUR WAY OUT. Å”ĀĀĀ
HS4151A,I left my dildo on the plane is there any way for me to get it back? 
HS245A, What is going on with the flight from Buffalo to JFK? Have they figured anything out about the temperature and the tower yet?
HD3280A, compensate us for new clothes bet you won't
SK2484A," ""Will my luggage be on that flight?"" ""No"" ""Y not"" ""bc ur on that flight n it won't end up where ur goin http://t.co/6Zj6L2ZTua"
HD4856A,  #USAirways disappoints AGAIN! #Cancelled Flighted flights #Missed appointments #Promised refund is a lie
HD4913A, - have dinner reservations in a few minutes -- and I've been trying to get through to you since BREAKFAST. #onholdwith
HD4529A," My flight was 952, leaving las vegas at 5:40pm, arriving at CHI-MID at 11:00 pm."
HD4337A, Frontier is currently offering their weather exceptions for this weekend. When is United?
HD2836A," crew has been notified, passenger moved but water not fixed. Now on tarmac two hours"
SK4418T, this 2 hr delay is a vacation buzzkill
HD359T," never let's me down, every. Single. Flight. Gets delayed."
HD2518A, my flight 386 from Jacksonville fl to Dallas is showing Cancelled Flightled. What is going on?  Am I rebooked on another flight?
HVP1346T, IÄĀĀm resending the confirmation code in a DM
HS1983A," Worked now, ty"
HD2441A, would be more pleased if you reassess your business practices.  Goal should be to have passengers on plane as little as possible
CD3699A, bags fly free..just not to where you're going.
HD4474A, thank you! I wish the lady in Little Rock had told me that in the morning when I asked her
HS1234A,ÄĀĀ: Our fleet's on fleek. http://t.co/vOUUFRN4jSÄĀĀ YASSS JetBlue ! Tell them !
HC3009A," #vegan meals can be more creative than noodles, peas, and zukes. Non-vegan yogurt is not acceptable for a vegan. Can you do better?"
CD391T, These birds could fly to South America for example #Argentina
HO273A, rushed through the -6 degree weather to get to the airport on time. Too bad the pilots didn't do the same. #stillwaiting.
HD1615A, why did you drop my call. Why don't you have more people answering phones? Why is it always high call volume when I call
HD4505A, that's why I missed my flight. If the flight had been held for 5 minutes I would have made it. I watched it pull away from the gate
HD3934T, LUV! your new Luv Television Commercials. Traveled on your airline last year return trip from NYC...#feltthelove
HD2137A," wait times of 2 hours to talk with an exec plt agent, what is going on!!!"
HD1187A, ok!!! That's super helpful. Thank you. I'll reach out if I have any other questions.
HO3513A, Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
HD3199A,  you have now lost my luggage for40 hours holding for4 hrs on phone #wtf is this how you treat your loyal passengers?#stranded
HS2335A," I mean. Probably inappropriate while on board.. But, it's on!"
HD1988A,NOÄĀĀ: Our fleet's on fleek. http://t.co/UgFCKErmrWÄĀĀ
HD2304A, @WSJ #JETBLUE treated me right as a #disabledtraveler thanks for a no hassle flight to @jamaica
HD641A, how nice it would be if you had helpful flight attendants instead of the rude nasty ones you employ. #WhyAreYouYelling
HS4226A," thank you! It's # 1875 from BWI, keep seeing different stats, from delayed to awaiting take off to delayed..."
HD1156T," I got a flight at 11:55am on Thursday but looking for something tomorrow, anything available?"
HD736A, You landed me at #BWI instead of @Reagan_Airport  and have no plans for me to make it home to DC. How do you suggest I get home?
HC169A, selfie on the flight 83 from #JFK to #Orlando . With @Supertzar85 http://t.co/QRANZImHTr
SK2458A, I WANNAA GO TO THE VEGAS SHOW SO BAD ID DOO ANYTHING #DestinationDragons
HD3182A, please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!
HG4087A, The issue is the lack of consideration of an announcement made so Late Flight when the gate agent had been there for over an hour.
CC1701A, What's the best way to check on any delays or Cancelled Flightlations for my flight out of DFW on Tuesday?
HS4286A," God damn fucking crew won't be here till 6:40, so you've known for over an hour and a half the flight time was bullshit."
HC293A, how about some rampers at gate b40 dfw?   Waiting to be marshaled in
HD4347A, We invite to Fallow @HelacoHLC learn about our activities.Prevention Programs of Health by Condom-Rito Family.We R 501(C)(3)Thanks
HC4377A, I understand flight Cancelled Flightation but not being able to get through to change that flight for 6 hrs is not acceptable.
HD3697A," Said only way to get on plane about to leave that would make my connection was a $75 fee. Instead of earlier, I am now Late Flightr!"
HD73T, She was put on hold on that number for a loooooong time too.  No help. #lostandforgotten
CD836A, would also like say kind move on adding the points !
HD4780T, keep me updated. Let me know that the bags make the flight to j-burg
HIS3511T, that you would let us just switch to a different set of flights so we could spend time with the family after he passes away...
HD369T, Can someone rebook me? Please direct message me.
HD3742A, flying by myself is getting old
HD1884A, I see two flights with two seats in the morning can we get on those
HC4269A, I still can't get through to change my flight. This is really important plz help!
ST2922A, Hey AA - can you help with an itinerary for a plat custy?  Stuck in PVR and phones aren't working
HG288T, flight from DCA to BOS has no heat #OhNo #BundleUp #Leastthebeverageswillbecold
HS3842A, your assistance has not been very helpful frustrating disappointing experience &amp; w/small children very inconvenient
HD4721A, my baggage is in shannon now so never mind u can work on giving me some $$$ back now
HD4034A," Late Flight 2014 and 2015 are huge step towards decline in service, and your agents, not all, are as arrogant as ever.  #UnitedAirlines"
HIS4353T," Your ""moveup"" policy really sucks. United has a 24 hour policy for this with status. I was wanting to move up from 5am to 7am..."
ST4971A," Hi JH, my experience with United has been entirely disgusting but yes, I'd like assistance in getting compensated for my bag."
HD1509A, my in-laws flight Cancelled Flighted 4 tonight. U auto rebooked 4 flight on Tuesday that doesn't work. Can you help reFlight Booking Problems them?
HN103A, No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business.
HD1602T," I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
HS4300A, Lost bags. Cancelled Flightled flights. Delhi call centers. Poor United staff spread thin and stressed. You name it.
SM4350A," this is pathetic customer service. Why have bag tags, barcodes and computers if your response is, ""not yet located""?"
IC4518A, I would never fly United Airlines again!
HC3230A, done it! Process initiated Saturday morning.  Can't get info with website issues &amp; inadequate phone coverage.  How 2 get update??
HC3556A, It was US 893. The gate was open after about 50 mins waiting. What a great way to finish an 18 hour delayed arrival!!
HC609A, ..just booked trip to Cancun...ÄĀĀ¤Ä¼ĆøĀ no baggage fees..but need to have more flight time options
SK2377A, How am I supposed to Cancelled Flight it if I can't do it online?  I don't want to lose all the funds on the ticket.  HELP!!! :(
SK4855A," my wife has now been on hold for 90 minutes....I get weather is bad, but this is insane. #customerservice #customerloyalty"
HN1020A,.  It's been Cancelled Flighted. Your SM response is slow.
HD937A, I will do just about anything tO GO TO THE VEGAS SHOW PLEASE MAN
HD2338A," you should change your name to United Incompetence. No flight until Monday, have to take a 7 hour drive now to get to my flight!"
HD68T, I ask for reimbursement maybe miles added to my account for my inconvenience and for the money that I had to spend
HN2028T, CEO using #Vegas band to help ÄĀĀconnectÄĀĀ to people. http://t.co/89gKYuf1Qh  #aviation #business #marketing #consumermarketing
HD3609A, I have been trying to book a flight using my miles for 3 straight days. 210 min on phone - still haven't talked to a human.
HD3421A, can you get me to okc from Sacramento today. Dfw is now closed
HD1253A, when will you have flights for October 2015 available?
HC4964A," They provided no options. Since you all have a better sense of the weather, I hoped you could suggest."
HD2887T,"ÄĀĀ: @pancho_joe No, no, you must've heard us wrong. Sweet mixtape,though"" 4 the record,I didn't leave the 80's, the 80's left me"
HN432A, now on hold for 2 hrs 20 min. This is ridiculous
HC3622A," flight ua3576, gate b1. And tell ray I somehow made it on to the 736 flight out of IAH and didn't have to wait for the 917 one. :)"
HD2717A, thanks
SK1311T," departing MDW it's cold 26F, windy with snow on the ground for sunny and 70F las vegas  @LASairport http://t.co/2IR7ynMBdU"
HN3890T," It's our honeymoon,I paid extra business. I was sitting next to my bride, you bumped me because of status. Disgusted"
HD3797A, my mom tried also. That wasn't the reason they wouldn't change it. Y'all literally said that you'd rather have an empty seat.
HD4993A, Thanks guys got some sleep. Hang in there DFW with bad weather.
HD560T," its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark"
HD3192A, Why have airlines always told us they can't open a cabin door once it has been closed?  This plane has done it 3 times tonight.
SK3260A," my sinuses had to contend with two painful landings rather than one, and we missed a preregistration window. Beyond frustrated"
HD1737A," In ORD, waited 20 min after crew members left before gate items came. Flight attendant sarcastically said good luck and walked away."
HD835A,". it will be because I'm moving to  because of  talk, no service"
HZ2773B, Hi-i have a travel question. Could you please follow me so i can dm you?
CD1011A, we're still stucked in the airport. #AADelay #AA919
HD4238A," the sign in screen had major mobile issues, the responsive design wasn't working properly my Nexus 5."
HVP4336T,ÄĀĀ: Our fleet's on fleek. http://t.co/XX5QSCjlL1ÄĀĀ @BrandsSayingBae #Freberg15
HVP1778T,.  you know your updates every 6 hours telling me you don't know where my bags are is also equally irritating. #ColtsMissingBags
HD2312A, that luggage you forgot...#mia.....he just won an oscarÅ”ĀĀĀÅ”ĀĀĀÅ”ĀĀĀÅ”ĀĀĀ
HD1569A," captain on flight 1712 from PHX-PHL at 3:55 tonight was hilarious. ""Greetings from the pointy end of the airplane"" haha thanks!"
HD1654T, good work by flight 1798 crew.  #Chairman's recognition even in coach.  Too many #missedupgrades Late Flightly.  What's up with this?
HD3524A," enough already with the poor service, old planes, ridiculous routing. 1k and time to find a new airline with status match."
HD1386A, an efficient layout at kiosks/bag drop lines would help as there is no definition to space. Additional friendly and helpful staff
HC609A," Thanks, she did her best. Staying the night in Dallas, new trial to Detroit via Atlanta tomorrow, assuming no Cancelled Flightlations."
HD2769A, Just checking in again - what is the status of our claim.   It is going on 2 months with no attention to this?   We are very upset.
HC3813A, Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.
HD2702A, @dfwairport listening to all the flights taking off over my house and kicking myself for Flight Booking Problems an AM flight tomorrow. Iceday?
HC4312A, This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.
HD2111A, really shouldn't offer sweeps if your link isn't going to work! B http://t.co/nOfG0TQHYN
HD3212A," Hi there, any rough idea of when January 2016 flights will be made available?"
ST809A, wish you flew out of Atlanta... Soon?
CC3121A, are you anticipating weather-reLate Flightd Cancelled Flightations for afternoon departures out of AUS today?
SK447A," Cancelled Flightled my flight, rescheduled to EWK gave me a pseudo-voucher that directed me to the worst @daysinn in existence. #fail"
CD3625A, please do something about the speed of your WiFi connections on your planes.  It might as well be non-existent.
HC1263A," 2 hour delay while sitting on the plane and you still wanna charge me for beer? Nah, I'm good."
HD2622A, I bougth ticket same fligths twice and you dont refund money it is big problem other company refund money why dont u pay back
HD4371A, I meant can you use the 50k bonus sign up mileage for Alaska flights or only American?
HD3343A, No flights out of Philly because of system wide tech issue.   @CBSPhilly
HD728A, why 730 and not 645 as scheduled?
HS564A," @TiffanyAndCo @NTrustOpen ah, so that's where the funds to fix the broken plane upon which I sat for 4 hrs on IAH runway went."
HD2589A, I wish I could remember all of their names!
HD1942A, 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi
HD3266A, lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent
HD1914A, lost bag on next flight. Didn't have time to load during the 5 hour delay?Consequence from platinum to gold
HD3771A, my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?
HD2579A," @SCVPools 
Please call me at 310-795-2210."
HD3885A, it's poop and barely works
HP850T, I'm getting leathery from the heat on 4251 before I even get to Vegas....
SC2177A, is your website ever coming back online?
HD3295A, but question :  if the downgrade include losing first class do you get money back ? http://t.co/LfT7QD23Sy
